"product_category_name","total_orders","total_revenue"
cama_mesa_banho,21906,2427535.560546875
beleza_saude,18930,2637042.5619368553
esporte_lazer,16862,2095012.8382854462
moveis_decoracao,16320,1812859.6066551208
informatica_acessorios,15288,2216379.3326911926
utilidades_domesticas,13590,1463668.3818588257
relogios_presentes,11718,2441167.835002899
telefonia,8860,691668.1388893127
ferramentas_jardim,8536,1128641.786356926
automotivo,8280,1296111.0405006409
